ville,code_postal,prix,pays,agence_adresse_telephone,adresse,site,annonce_link,agence_nom,totm2,titre_annonce
,69002,,LYON  2EME,,21 rue auguste comte ,residence_immobilier,,"
            R DU MONTELLIER IMMOBILIER SOTHEBY'S INTERNATIONAL REALTY         ",,
,75007,,PARIS  7EME,,5 RUE DE L'UNIVERSITE,residence_immobilier,,"
            EMILE GARCIN PARIS RIVE GAUCHE        ",,
,73120,,COURCHEVEL,,Rue des verdons,residence_immobilier,,"
            Cimalpes Knight Frank        ",,
MALLEMORT,,Prix : 663 000,,,,,http://www.residences-immobilier.com/fr/13/annonce-vente-maison-mallemort-1650278.html,,132 , - annonce maison à vendre
LORGUES,,Prix : 1 150 000,,,,,http://www.residences-immobilier.com/fr/83/annonce-vente-maison-lorgues-1524892.html,,290 , - annonce maison à vendre
ST-MARTIN-D'ENTRAUNES,,Prix : 212 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-st-martin-dentraunes-1649619.html,,180 , - annonce maison à vendre
LE CANNET,,Prix : 1 210 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-le-cannet-1649560.html,,165 , - annonce maison à vendre
COLLONGES-AU-MONT-D'OR,,Prix : 1 250 000,,,,,http://www.residences-immobilier.com/fr/69/annonce-vente-maison-collonges-au-mont-dor-1650311.html,,400 , - annonce maison à vendre
CANNES,,Prix : 299 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1649989.html,,61 , - annonce appartement à vendre
PARIS  8EME,,Prix : 3 200 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--8eme-1517596.html,,125 , - annonce appartement à vendre
PARIS  7EME,,Prix : 6 500 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--7eme-1276088.html,,300 , - annonce appartement à vendre
MÉRIBEL,,Prix : 1 250 000,,,,,http://www.residences-immobilier.com/fr/73/annonce-vente-appartement-meribel-1638706.html,,76 , - annonce appartement à vendre
AIX-EN-PROVENCE,,Prix : 670 000,,,,,http://www.residences-immobilier.com/fr/13/annonce-vente-maison-aix-en-provence-1650160.html,,140 , - annonce maison à vendre
,06400,,CANNES,,"34, boulevard de la Croisette",residence_immobilier,,"
            MICHAËL ZINGRAF REAL ESTATE CANNES        ",,
,33000,,BORDEAUX,,143 RUE GEORGES MANDEL,residence_immobilier,,"
            GRANGE DELMAS        ",,
,56100,,LORIENT,,"13, Quai Des Indes",residence_immobilier,,"
            FRANCE CHATEAUX MORBIHAN/SOTHEBY'S INTERNATIONAL        ",,
,75017,,PARIS 17EME,,"22 ter, rue Legendre",residence_immobilier,,"
            PARIS NEUILLY IMMOBILIER (LÉVIS)        ",,
,75005,,PARIS  5EME,,111 RUE MONGE,residence_immobilier,,"
            DANIEL FEAU 5E        ",,
